time,amount of request,throughput
0,100,100.0
1,2459,1279.5
2,3399,1986.0
3,3353,2327.75
4,3307,2523.6
5,3345,2660.5
6,3275,2748.285714285714
7,3321,2819.875
8,3341,2877.777777777778
9,3322,2922.2
10,3326,2958.909090909091
11,3253,2983.4166666666665
12,3240,3003.153846153846
13,3382,3030.214285714286
14,3337,3050.6666666666665
15,3344,3069.0
16,3300,3082.5882352941176
17,3274,3093.222222222222
18,3392,3108.9473684210525
19,3305,3118.75
20,3324,3128.5238095238096
21,3325,3137.4545454545455
22,2604,3114.2608695652175
23,3213,3118.375
24,3438,3131.16
25,3322,3138.5
26,3324,3145.3703703703704
27,3329,3151.9285714285716
28,3334,3158.206896551724
29,3322,3163.6666666666665
30,2992,3158.1290322580644
31,2967,3152.15625
32,3011,3147.878787878788
33,2835,3138.676470588235
34,3084,3137.114285714286
35,2993,3133.1111111111113
36,2993,3129.324324324324
37,2983,3125.4736842105262
38,2942,3120.769230769231
39,2887,3114.925
40,2826,3107.878048780488
41,3030,3106.0238095238096
42,2958,3102.5813953488373
43,2869,3097.2727272727275
44,3017,3095.488888888889
45,2926,3091.804347826087
46,3017,3090.2127659574467
47,3135,3091.1458333333335
48,3257,3094.530612244898
49,3332,3099.28
50,3297,3103.156862745098
51,3316,3107.25
52,3126,3107.603773584906
53,3466,3114.240740740741
54,3329,3118.1454545454544
55,3221,3119.9821428571427
56,3261,3122.4561403508774
57,3313,3125.7413793103447
58,3240,3127.677966101695
59,3364,3131.616666666667
60,3178,3132.377049180328
61,3413,3136.9032258064517
62,3327,3139.9206349206347
63,3228,3141.296875
64,3347,3144.4615384615386
65,3129,3144.2272727272725
66,3423,3148.3880597014927
67,3332,3151.0882352941176
68,3229,3152.217391304348
69,3387,3155.5714285714284
70,3336,3158.112676056338
71,3231,3159.125
72,3308,3161.1643835616437
73,3202,3161.7162162162163
74,3382,3164.653333333333
75,3326,3166.7763157894738
76,3307,3168.5974025974024
77,3336,3170.74358974359
78,3091,3169.73417721519
79,3419,3172.85
80,3325,3174.7283950617284
81,3230,3175.4024390243903
82,3327,3177.2289156626507
83,3333,3179.0833333333335
84,3174,3179.0235294117647
85,3328,3180.7558139534885
86,3219,3181.1954022988507
87,3362,3183.25
88,3350,3185.123595505618
89,3173,3184.988888888889
90,3340,3186.6923076923076
91,3206,3186.9021739130435
92,3404,3189.2365591397847
93,3332,3190.755319148936
94,3126,3190.073684210526
95,3430,3192.5729166666665
96,3303,3193.7113402061855
97,3197,3193.7448979591836
98,3335,3195.1717171717173
99,3168,3194.9
100,3353,3196.4653465346537
101,3331,3197.7843137254904
102,3214,3197.9417475728155
103,3257,3198.5096153846152
104,3170,3198.2380952380954
105,3391,3200.056603773585
106,3257,3200.588785046729
107,3209,3200.6666666666665
108,3332,3201.8715596330276
109,3124,3201.163636363636
110,3256,3201.6576576576576
111,3210,3201.7321428571427
112,2879,3198.8761061946902
113,3404,3200.6754385964914
114,3317,3201.686956521739
115,3207,3201.7327586206898
116,3256,3202.196581196581
117,3267,3202.7457627118642
118,3181,3202.563025210084
119,3265,3203.0833333333335
120,3290,3203.801652892562
121,3085,3202.8278688524592
122,3311,3203.7073170731705
123,3200,3203.6774193548385
124,3300,3204.448
125,3154,3204.0476190476193
126,3358,3205.259842519685
127,3301,3206.0078125
128,3185,3205.84496124031
129,3334,3206.8307692307694
130,3322,3207.709923664122
131,3143,3207.219696969697
132,3335,3208.1804511278197
133,2685,3204.276119402985
134,3170,3204.0222222222224
135,3172,3203.7867647058824
136,3061,3202.7445255474454
137,3231,3202.949275362319
138,3400,3204.36690647482
139,3214,3204.4357142857143
140,3323,3205.276595744681
141,3127,3204.725352112676
142,3396,3206.062937062937
143,3324,3206.8819444444443
144,2817,3204.193103448276
145,3420,3205.671232876712
146,3339,3206.578231292517
147,3270,3207.0067567567567
148,3344,3207.9261744966443
149,3232,3208.0866666666666
150,3323,3208.8476821192053
151,3295,3209.4144736842104
152,3234,3209.575163398693
153,3312,3210.2402597402597
154,3125,3209.690322580645
155,2454,3204.846153846154
156,44,3184.7133757961783
